"header_employer_name","r_cons","r_pros","r_company_rating"
"SnapLogic",\N,\N,"0"
"Coriance",\N,\N,"0"
"DIMOCO Europe GmbH",\N,\N,"0"
"Buro Nexus",\N,\N,"0"
"comSysto","not really a lot to mention here. As I worked there the company was fast growing and they had issues to keep up with the structure and communication. But a normal process I guess.","You will work with very good people   from which you can learn a lot. Additionally  for example as a dev  you will have people with concentration on big data  UX and devOps around  which will give you another perspective on things and directions to evolve. You can freely chose the kind of formation you would like  also if it is not necessary for your current job.  A nice place for curious people who want to keep moving.","5"
"Gett","None cons to mention so far.","Great environment  Great co-workers  Great institutes and variety of lunch choices around the office's location.","5"
"Gett","Always can do better","Great People Interesting industryInnovative company","5"
"comSysto","Kann bei Comsysto nichts Negatives finden.","Sehr gutes Teamklima und der Zusammenhalt zwischen den Kollegen ist gut. Man lernt schnell jeden kennen ohne das typische Hierarchieproblem. Auch mit den Geschäftsführern kann man sehr gut und unkompliziert Ideen oder Probleme besprechen. Agiles und selbstständiges Arbeiten wird hier groß geschrieben. Wer sich weiterentwickeln möchte muss nur mit Kollegen sprechen und bekommt für gewöhnlich die Möglichkeit sich zu entfalten. Bei regelmäßigen Firmentreffen kommt man mit allen Mitarbeitern zusammen  kann sich austauschen und erfährt was es neues im Unternehmen gibt.Zusammengefasst kann man sagen: TOP","5"
"Gett","Fast changing environment  but I like it actually","Friendly and ambitious team  comfortable office","5"
"comSysto","Mir sind keine relevanten Nachteile aufgefallen","Die Kommunikation war immer transparent  offen und ehrlich.Reichhaltiges Angebot an Weiterbildung.Sehr angenehmes Klima.","5"
"Gett","* Over-Engineering* Not tolerate for personal problems (everything should be on time  no matter what)* No Work-Life balance","* Cutting edge technologies &amp; top-notch developers * Very good terms and benefits","3"
"EWE",\N,\N,"0"
"Gett","Low salary relative to the market","There is always a challenge  working together to solve problems globaly","5"
"Denodo",\N,\N,"0"
"Roche","sometimes you have to work over nights with global colleagues","high social reputation from local communities","5"
"Helvetica Partners",\N,\N,"0"
"Roche","The development path is not competitive as like in similar huge firms  best fit for someone who seek a steady way of growth","Excellent company for it's reputation in both pharma and dia industry   the company cares about people and respect a diversified culture","4"
"Roche","Limited position available in big company","Good place to work for young people","5"
"Roche","however the complex process always drag you down. productivity could be damaged and passionate people would gradually turn lazy.","Roche is a leading biotech company with robusty pipeline. working at roche make me keep learning medical knowledges beyond school.","4"
"Roche","Tedious work  can be quite inefficient","Excellent office atmosphere  excellent benefits","5"
"Maitland Group","they have long working hours","Interact with international people and opportunity to overseas","3"
"Deloitte","Long hours  pressure and low salary.","Career progression  autonomy and fast paced environment","5"
"DHL","Customer Data &amp; pricing and Global pricing","Best  Supply Chain i the world","5"
"Deloitte","salary  hours  staff turnover  software and systems are outdated  excessive number of internal emails  lack of internal networking platforms/social teams (unless you're a grad)  burn out is common  stingy  outdated fit out","Surrounded by intelligent people  working across multidisciplinary teams  access to experts  high profile clients  location  great internal training  good EOFY and Xmas parties  great on CV  can work from home  lots of young people","4"
"DHL","Sometimes as the workload get higher  there will be less family time and have to stay back for so long to complete the work.","One of the best company to work for with the best culture and management system.","5"
"Deloitte","Learning experience was just ok as I was left to figure things out myself without proper explanation of what is expected from my job. Good life skill  I suppose","Managers tend to rotate you through a few engagements so you can gain as much knowledge.","3"
"DHL","Need to struggle with customer need first then safety. HSE Senior Manager post vacant almost 1 year.","All manager know the safety. All.busy with customer","2"
"Deloitte","Stressful Corporate culture and management style","Networking compensation salary clients Friday o","2"
"DHL","Too much work  less number in a team","Good  friendly ambience   good learning","5"
"Deloitte","Low remuneration and billable work","Fast learning environment and the opportunity to work with Big companies","3"
"DHL","There are some political turbulence in this company and continuous cost saving initiative is really stressful here. Ex from 3 manpower to 1.","Great place if you work in spare parts department not FMCG and you are lucky if you get great superior  which not many left.","3"
"Amazon","No transpirancy  effective learning for new skills  more offers","Very good to work with out tensions  fast promotions  growth is really fast","5"
"Amazon","Nothing as such for now. Good management. Would recommend free food","Good working experience. Good work life bakance","5"
"Amazon","Sometimes it becomes hectic and have to spend extra hours to finish work.","Innovation  Learning  Ownership   Great Place to work.","5"
"Amazon","None really. But  as with other companies  take care of your health as most people just ignore this.","The environment is so good that you will enjoy just being there. And  there is this satisfaction that other people are going to use what you are contributing to. It is worth it.","5"
"ADP","Lack of integration; increasing turnover","Client and Service Orientation; Global exposure;","5"
"ADP","Overworked due to high saturation of clients and poor performing partners","Flexible working  autonomy in role","4"
"Amazon","Can't think of any cons","Excellent work environmentGreat growth opportunitiesFriendly environment","5"
"ADP","could do better things for their employees","Safe place to work in","4"
"Cornerstone Information Systems","There is nothing that comes to my mind.","It is a great place to work in. The work environment is so nice and the people are so supportive.","5"
